Δϵ_n,Ω_d,N
0.8829831454372044,0.37,20.0
0.8825766641459668,0.37,20.0
0.8113524711704596,0.37,20.0
0.7446257623191691,0.37,20.0
0.7072742394627977,0.37,20.0
0.6863869816680329,0.37,20.0
0.665500774967762,0.37,20.0
0.6181337272163903,0.37,20.0
0.3717226525362781,0.37,20.0
0.5865279724187735,0.37,20.0
0.40997785948851145,0.37,20.0
0.5263011760720298,0.37,20.0
0.5145476828238632,0.37,20.0
0.47811034373463734,0.37,20.0
0.0,0.38,20.0
0.001496939090473881,0.38,20.0
0.04268414619640276,0.38,20.0
0.9457549374408758,0.38,20.0
0.9172988576678424,0.38,20.0
0.07943122036885436,0.38,20.0
0.8915901594653299,0.38,20.0
0.8784213663158797,0.38,20.0
0.812830720475212,0.38,20.0
0.7385424487563803,0.38,20.0
0.7091438403491511,0.38,20.0
0.6878534339324354,0.38,20.0
0.6669501064638895,0.38,20.0
0.6313822645889866,0.38,20.0
0.36446107641443504,0.38,20.0
0.5896464247905662,0.38,20.0
0.4116014126272004,0.38,20.0
0.5277554170963825,0.38,20.0
0.5160720797062349,0.38,20.0
0.4801267245891979,0.38,20.0
0.990469970984571,0.39,20.0
0.0,0.39,20.0
0.9454405307577747,0.39,20.0
0.04138163143571616,0.39,20.0
0.9158631215441293,0.39,20.0
0.0837504020445593,0.39,20.0
0.8978037019594343,0.39,20.0
0.8707709006907667,0.39,20.0
0.811314593227884,0.39,20.0
0.7292624886937114,0.39,20.0
0.7080295015653061,0.39,20.0
0.6863251950930838,0.39,20.0
0.6654042904712347,0.39,20.0
0.6418849189509066,0.39,20.0
0.35397250978748696,0.39,20.0
0.5898142728218927,0.39,20.0
0.4102344639875364,0.39,20.0
0.5262146414477935,0.39,20.0
0.5146033305989443,0.39,20.0
0.4791630808607198,0.39,20.0
0.0,0.4,20.0
0.9822331711319843,0.4,20.0
0.9466537984201782,0.4,20.0
0.04158110598983544,0.4,20.0
0.9159259142608149,0.4,20.0
0.9057075960192453,0.4,20.0
0.08971836143692413,0.4,20.0
0.8645267242341739,0.4,20.0
0.8112949066439403,0.4,20.0
0.7212766565744225,0.4,20.0
0.7084220405967935,0.4,20.0
0.6862930822830675,0.4,20.0
0.6653541437422043,0.4,20.0
0.6541282822318233,0.4,20.0
0.3447478036885609,0.4,20.0
0.5915223365903233,0.4,20.0
0.4103678309563088,0.4,20.0
0.526169666115418,0.4,20.0
0.5146322528247007,0.4,20.0
0.4797102301170181,0.4,20.0
0.0,0.41,20.0
0.9737932241709752,0.41,20.0
0.9478978027343019,0.41,20.0
0.041785630667450224,0.41,20.0
0.915990296656279,0.41,20.0
0.9138043762911512,0.41,20.0
0.09583821547891391,0.41,20.0
0.8581960508976916,0.41,20.0
0.8112747216845975,0.41,20.0
0.7130879702090348,0.41,20.0
0.708824518297434,0.41,20.0
0.6862601565407798,0.41,20.0
0.6666111731463139,0.41,20.0
