cross_n,Δnn,Δ,K,ϵ_1,ϵ_2,N
1.0,0.31107551956405644,0.0,1.0,0.03,6.72,200.0
3.0,0.25971460132657853,0.0,1.0,0.03,6.72,200.0
1.0,0.3126915082699284,0.0,1.0,0.03,6.79,200.0
3.0,0.2612541721056658,0.0,1.0,0.03,6.79,200.0
1.0,0.3142991883548305,0.0,1.0,0.03,6.86,200.0
3.0,0.26286540130803715,0.0,1.0,0.03,6.86,200.0
1.0,0.3158986866732221,0.0,1.0,0.03,6.93,200.0
3.0,0.2645323689748764,0.0,1.0,0.03,6.93,200.0
1.0,0.3174901268841097,0.0,1.0,0.03,7.0,200.0
3.0,0.26624204796703665,0.0,1.0,0.03,7.0,200.0
1.0,0.3190736295624532,0.0,1.0,0.03,7.07,200.0
3.0,0.26798381500180213,0.0,1.0,0.03,7.07,200.0
1.0,0.32064931230595306,0.0,1.0,0.03,7.14,200.0
3.0,0.2697490362063526,0.0,1.0,0.03,7.14,200.0
1.0,0.3222172898368285,0.0,1.0,0.03,7.21,200.0
3.0,0.2715307182478952,0.0,1.0,0.03,7.21,200.0
1.0,0.32377767409943914,0.0,1.0,0.03,7.28,200.0
3.0,0.27332321635221746,0.0,1.0,0.03,7.28,200.0
1.0,0.325330574353373,0.0,1.0,0.03,7.35,200.0
3.0,0.2751219911207521,0.0,1.0,0.03,7.35,200.0
1.0,0.32687609726296785,0.0,1.0,0.03,7.42,200.0
3.0,0.276923406829237,0.0,1.0,0.03,7.42,200.0
1.0,0.3284143469825338,0.0,1.0,0.03,7.49,200.0
3.0,0.2787245647303038,0.0,1.0,0.03,7.49,200.0
1.0,0.32994542523854165,0.0,1.0,0.03,7.56,200.0
3.0,0.2805231657161187,0.0,1.0,0.03,7.56,200.0
1.0,0.33146943140793184,0.0,1.0,0.03,7.63,200.0
3.0,0.2823173974809521,0.0,1.0,0.03,7.63,200.0
1.0,0.33298646259346043,0.0,1.0,0.03,7.7,200.0
3.0,0.28410584204371503,0.0,1.0,0.03,7.7,200.0
1.0,0.33449661369593997,0.0,1.0,0.03,7.77,200.0
3.0,0.28588740012540015,0.0,1.0,0.03,7.77,200.0
1.0,0.3359999774834108,0.0,1.0,0.03,7.84,200.0
3.0,0.28766122943754624,0.0,1.0,0.03,7.84,200.0
1.0,0.33749664465779006,0.0,1.0,0.03,7.91,200.0
3.0,0.2894266944195323,0.0,1.0,0.03,7.91,200.0
1.0,0.3389867039186356,0.0,1.0,0.03,7.98,200.0
3.0,0.29118332537505154,0.0,1.0,0.03,7.98,200.0
1.0,0.34047024202443765,0.0,1.0,0.03,8.05,200.0
3.0,0.292930785308009,0.0,1.0,0.03,8.05,200.0
1.0,0.34194734385174286,0.0,1.0,0.03,8.12,200.0
3.0,0.2946688430531168,0.0,1.0,0.03,8.12,200.0
1.0,0.34341809245164256,0.0,1.0,0.03,8.19,200.0
3.0,0.2963973515427014,0.0,1.0,0.03,8.19,200.0
1.0,0.3448825691043993,0.0,1.0,0.03,8.26,200.0
