E_n,ϵ_2_by_K,N
1054.0098697207984,2.0,40.0
1120.2025900218478,2.0,40.0
1188.2578828367061,2.0,40.0
1261.8796917832167,2.0,40.0
1334.4098425135865,2.0,40.0
1439.6008833619235,2.0,40.0
1518.1961118265779,2.0,40.0
-4.594525694097579,2.1,40.0
-4.501468145561239,2.1,40.0
0.8526966711386343,2.1,40.0
4.000975061125412,2.1,40.0
9.966702098710979,2.1,40.0
17.900044977271193,2.1,40.0
27.866662461182894,2.1,40.0
39.84680600667046,2.1,40.0
53.8341368605656,2.1,40.0
69.82558307985468,2.1,40.0
87.81954543958554,2.1,40.0
107.81512906480279,2.1,40.0
129.81180297553104,2.1,40.0
153.80923648525862,2.1,40.0
179.80721514609164,2.1,40.0
207.80559504899273,2.1,40.0
237.80427675159706,2.1,40.0
269.803189776295,2.1,40.0
